Department,年級,編號,班別,科目名稱,任課教授,上課時數正課/實驗實習/書報討論,學分,選必,上課時間,上課地點,限修人數,開課學制
外文所,1,1155231,1,文學理論與應用Critical Theory and Practice (全英語授課/English-taught),蔡美玉,3  3/0/0,3,必修,"二3,4,5",文學院355,0,碩士班課程
外文所,1,1155256,1,後現代小說與電影Postmodern Fiction and Film (全英語授課/English-taught),羅林,3  3/0/0,3,選修,"四4,5,6",文學院354,0,碩士班課程
外文所,1,1155257,1,西方戲劇與劇場學Western Drama and Theater,林欣瑩,3  3/0/0,3,選修,"三4,5,6",文學院355,0,碩士班課程
外文所,1,1155258,1,"主體、認同與女性文學Subjectivity, Identity, and Women's Literature",王明月,3  3/0/0,3,選修,"四8,9,10",文學院354,0,碩士班課程
