Department,年級,編號,班別,科目名稱,任課教授,上課時數正課/實驗實習/書報討論,學分,選必,上課時間,上課地點,限修人數,開課學制
哲學所,1,1255113,1,哲學基本問題討論（四）Basic Issues in Philosophy (IV),何宗興,2  0/0/2,1,必修,"三9,10",文學院412,0,碩博合開
哲學所,1,1255202,1,認知科學導論Introduction to Cognitive Science (全英語授課/English-taught),金凱文 襲充文,3  3/0/0,3,選修,"三4,5,6",文學院412,0,碩博合開
哲學所,1,1256330,1,"科技、倫理與社會Science-Technology, Ethics and Society",陳瑞麟 歐陽敏,3  3/0/0,3,選修,"一3,4,5",文學院509,0,碩博合開
哲學所,1,1256338,1,科學實驗的哲學Philosophy of Scientific Experimentation,陳瑞麟,3  3/0/0,3,選修,"二3,4,5",文學院408,0,碩博合開
哲學所,1,1256544,1,行動哲學專題：行動的形上學Seminar in Philosophy of Action: The Metaphysics of Action,張忠宏,3  3/0/0,3,選修,"四3,4,5",文學院408,0,碩博合開
哲學所,1,1257127,1,康德《純粹理性批判》Kant's Critique of Pure Reason,戴華,3  3/0/0,3,選修,"四7,8,9",文學院408,0,碩博合開
哲學所,1,1257274,1,實驗哲學與反例式思想實驗Experimental philosophy and thought experiments,侯維之,3  3/0/0,3,選修,"二12,13,14",文學院509,0,碩博合開
哲學所,1,1257427,1,遞迴理論Recursion Theory,蔡行健,3  3/0/0,3,選修,"二7,8,9",文學院509,0,碩博合開
哲學所,1,1257560,1,道德理論與實踐Theory and Practice of Morality,許漢,3  3/0/0,3,選修,"一7,8,9",文學院408,0,碩博合開
