Department,年級,編號,班別,科目名稱,任課教授,上課時數正課/實驗實習/書報討論,學分,選必,上課時間,上課地點,限修人數,開課學制
英語教學所,1,1365006,1,研究方法Research Methods (全英語授課/English-taught),葉純純,3  3/0/0,3,必修,"三7,8,9",文學院355,0,碩士班課程
英語教學所,1,1365008,1,文法教學Grammar Teaching (全英語授課/English-taught),林惠玲,3  3/0/0,3,選修,"四7,8,9",文學院355,0,碩士班課程
英語教學所,1,1365028,1,性別與言談Gender and Discourse (全英語授課/English-taught),劉德烜,3  3/0/0,3,選修,"三3,4,5",文學院354,0,碩士班課程
英語教學所,1,1365042,1,專業英語：教學與研究ESP: Pedagogy and Research (全英語授課/English-taught),鄭英雪,3  3/0/0,3,選修,"二8,9,10",文學院354,0,碩士班課程
