,年級,編號,班別,科目名稱,任課教授,上課時數正課/實驗實習/書報討論,學分,選必,上課時間,上課地點,限修人數,開課學制
0,1,3955019,1,教育專題研究Seminar on Educational Studies (全英語授課/English-taught),鄭勝耀,3  3/0/0,3,選修,"三3,4,5",教育二館335,0,碩士班課程
1,1,3955024,1,全球教育與發展專題研究Seminar on Global Education and Development (全英語授課/English-taught),李栢浡,3  3/0/0,3,選修,"六8,9,10",教育二館335,0,碩博合開
2,1,3955025,1,社會學與教育專題研究Seminar on Sociology and Education (全英語授課/English-taught),鄭勝耀,3  3/0/0,3,選修,"五3,4,5",教育二館335,0,碩士班課程
3,1,3958004,1,教育學方法論專題研究Seminar on the Methodology in Education Research (全英語授課/English-taught),邱獻輝,3  3/0/0,3,選修,"四2,3,4",教育二館335,0,博士班課程
4,1,3958007,1,高齡社會與教育領導專題研究Seminar on Aging Society and Educational Leadership (全英語授課/English-taught),李雅慧,3  3/0/0,3,選修,"三4,5,6",教育二館331,0,博士班課程
5,1,3958042,1,畢業論文：國際教育Dissertation: International Education (全英語授課/English-taught),詹盛如,3  3/0/0,3,選修,"五3,4,5",教授研究室,0,博士班課程
6,1,3958043,1,畢業論文:研究與學術寫作(II)Dissertation: Research and Academic Writing (II) (全英語授課/English-taught),何德華,3  3/0/0,3,選修,"一9,10,11",文學院412,0,博士班課程
