,年級,編號,班別,科目名稱,任課教授,上課時數正課/實驗實習/書報討論,學分,選必,上課時間,上課地點,限修人數,開課學制
0,1,2365002,1,書報討論（二）Seminar(Ⅱ),陳映年,2  0/0/2,1,必修,"三7,8",地震館305,0,碩士班課程
1,1,2365004,1,書報討論（四）Seminar(Ⅳ),鄭凱謙,2  0/0/2,1,必修,"三10,11",地震館305,0,碩士班課程
2,1,2365017,1,震波物理模型與應用Seismic Physical Modeling and Applications,張永孚,3  3/0/0,3,選修,"一G,H",地震館301,0,碩博合開
3,1,2365022,1,環境污染物傳輸Fate and Transport of Environmental Contaminants,范誠偉,3  3/0/0,3,選修,"四3,4,5",地震館304,0,碩士班課程
4,1,2365028,1,時序分析Time Series Analysis,温怡瑛,3  3/0/0,3,選修,"一C,D",地震館304,0,碩士班課程
5,1,2365031,1,地球化學Geochemistry,趙鴻椿,3  3/0/0,3,選修,"一E,F",地震館304,0,碩士班課程
