,年級,編號,班別,科目名稱,任課教授,上課時數正課/實驗實習/書報討論,學分,選必,上課時間,上課地點,限修人數,開課學制
0,1,3167526,1,諮商與心理治療專業倫理Ethical Issues in Professional Counseling and Psychotherapy,黃世琤,3  3/0/0,3,選修,"二3,4,5",社科院472,0,碩士班課程
1,1,3168109,1,獨立研究: 學科領域閱讀理解 (一)Independent Study: Content area reading comprehension (I) (全英語授課/English-taught),曾玉村,3  3/0/0,3,選修,"二7,8,9",教育館124,0,碩博合開
2,1,3169001,1,認知科學導論Introduction to Cognitive Sciences (全英語授課/English-taught),襲充文 金凱文,3  3/0/0,3,必修,"三4,5,6",文學院412,0,碩博合開
3,1,3169203,1,閱讀理解專題Seminar on Text Comprehension (全英語授課/English-taught),曾玉村,3  3/0/0,3,選修,"三8,9,10",教育館124,0,碩博合開
4,1,3169405,1,諮商心理專業實習(一)Practicum on Professional Counseling Psychology I (全英語授課/English-taught),黃世琤 林明傑,6  0/6/0,3,選修,"三7,8,9,10,11,12",社科院510,0,碩博合開
5,1,3169591,1,諮商心理實習The Practicum in Counseling Psychology (全英語授課/English-taught),黃世琤 陳慧女,6  0/6/0,3,選修,"一7,8,9,10,11,12",社科院510,0,碩博合開
