,年級,編號,班別,科目名稱,任課教授,上課時數正課/實驗實習/書報討論,學分,選必,上課時間,上課地點,限修人數,開課學制
0,1,2315705,1,實用隨機現象的數理解讀Mathematical Formulation on Practical Random Phenomena,高正雄,3  3/0/0,3,選修,"五7,8,9",數學館307A,0,碩士班課程
1,1,2315712,1,數理統計（二）Mathematical Statistics (II),樓文達,3  3/0/0,3,必修,二B 四B,數學館307A,0,碩士班課程
2,1,2315726,1,實驗設計Design of Experiments,沈仲維,3  3/0/0,3,選修,一C 三C,數學館307B,0,碩士班課程
3,1,2315728,1,大數據分析概論Introduction to Big Data Analysis,樓文達,3  3/0/0,3,選修,二E 四E,數學館307A,0,碩士班課程
4,1,2315733,1,計算統計Computational Statistics,史玉山,3  3/0/0,3,必修,二C 四C,數學館312,0,碩士班課程
5,1,2315743,1,存活分析Survival Analysis,謝進見,3  3/0/0,3,選修,一E 三E,數學館307A,0,碩士班課程
6,1,2315748,1,可靠度分析 Reliability Analysis,王義富,3  3/0/0,3,選修,二E 四E,數學館527,0,碩士班課程
7,1,2315776,1,長期追蹤資料分析Longitudinal Data Analysis,沈仲維,3  3/0/0,3,選修,一F 三F,數學館307B,0,碩士班課程
8,1,2316751,1,時間序列Time Series,史玉山,3  3/0/0,3,選修,二F 四F,數學館312,0,碩士班課程
