,年級,編號,班別,科目名稱,任課教授,上課時數正課/實驗實習/書報討論,學分,選必,上課時間,上課地點,限修人數,開課學制
0,1,3415016,1,國際恐怖主義研究International Terrorism Studies,林泰和,3  3/0/0,3,選修,"四3,4,5",社科院二館606,0,碩士班課程
1,1,3415045,1,策略規劃與問題解決Strategy Planning and Problem Solving,宋學文,3  3/0/0,3,必修,"四8,9,10",社科院二館606,0,碩士班課程
2,1,3415120,1,國際政治經濟International Political Economy,趙文志,3  3/0/0,3,選修,"五3,4,5",社科院二館606,0,碩士班課程
3,1,3416025,1,"溝通、談判與衝突管理Communication, Negotiation and Conflict Management",蔡育岱,3  3/0/0,3,選修,"五8,9,10",社科院二館606,0,碩士班課程
4,1,3417020,1,國際政治International Politics,宋學文 蔡育岱 林泰和,3  3/0/0,3,必修,"三8,9,10",社科院二館606,0,碩士班課程
5,1,3418020,1,兩岸關係專題Seminar on Cross-Strait Relations,江宜樺,3  3/0/0,3,選修,"五3,4,5",社科院二館607,0,碩士班課程
6,1,3418022,1,國際事務時事導讀Readings in International Affairs,楊志和,3  3/0/0,3,選修,"二3,4,5",社科院二館606,0,碩士班課程
7,1,3418023,1,國際關係方法論Methodology of International Relations,蔡榮祥,3  3/0/0,3,選修,"二3,4,5",社科院二館607,0,碩士班課程
