,年級,編號,班別,科目名稱,任課教授,上課時數正課/實驗實習/書報討論,學分,選必,上課時間,上課地點,限修人數
0,2,6012001,1,人工智慧與科技法律Artificial Intelligence and Science & Technology Law,劉建宏 蕭博仁,2  2/0/0,2,選修,"五8,9",視聽中心101階梯教室,100
1,2,6012006,1,工業4.0與法律Industry 4.0 and Law,廖蕙玟 簡立仁,2  2/0/0,2,選修,"四10,11",法學院206,90
