,年級,編號,班別,科目名稱,任課教授,上課時數正課/實驗實習/書報討論,學分,選必,上課時間,上課地點,限修人數,開課學制
0,1,2105004,1,泛函分析（二）Functional Analysis (II),潘志祥,3  3/0/0,3,選修,二F 四F,數學館307B,0,碩士班課程
1,1,2105006,1,數學分析 (二)Matahematical Analysis (Ⅱ),黃子偉,3  3/0/0,3,必修,二C 四C,數學館307A,0,碩士班課程
2,1,2105521,1,數值線性代數Numerical Linear Algebra,陳孟豁,3  3/0/0,3,選修,一E 三E,數學館312,0,碩士班課程
3,1,2105534,1,類神經網路Neural Networks,王琪仁,3  3/0/0,3,選修,二B 四B,數學館527,0,碩士班課程
4,1,2106531,1,應用數學方法專題Selected Topics on the Methods of Applied Mathimatics,尤玲凰,3  3/0/0,3,選修,一B 三B,數學館307A,0,碩士班課程
5,1,2108804,1,論文選讀Literature Readings,黃子偉,2  2/0/0,2,必修,"二10,11",數學館312,0,碩博合開
