,領域,向度,編號,班別,科目名稱,任課教授,上課時數正課/實驗實習/書報討論,學分,選必,上課時間,上課地點,限修人數
79,3,基礎概論課程,7303011,1,倫理學Ethics,林慧旻,2  2/0/0,2,通識,"四8,9",共同教室大樓212,90
80,3,人文思維與生命探索,7303014,1,生命倫理學Bioethics,陳俊明,2  2/0/0,2,通識,"一4,5",共同教室大樓325,60
81,3,人文思維與生命探索,7303015,1,批判思考Critical Thinking,林慧旻,2  2/0/0,2,通識,"四10,11",共同教室大樓212,90
82,3,人文思維與生命探索,7303019,1,當代政治哲學議題Contemporary Issues of Political Philosophy,林耕漢,2  2/0/0,2,通識,"五7,8",共同教室大樓420,62
83,3,自然科學與技術,7303022,1,易數邏輯I-Number Logic(遠距教學/Distant learning),游寶達,2  2/0/0,2,通識,"二8,9",共同教室大樓215,90
84,3,人文思維與生命探索,7303023,1,意識哲學與科學Philosophy and Science of Consciousness,陳今偉,2  2/0/0,2,通識,"二2,3",共同教室大樓302TEAL教室,60
85,3,人文思維與生命探索,7303024,1,理性與決策Rationality and Decision-making,陳俊明,2  2/0/0,2,通識,"四2,3",共同教室大樓325,60
86,3,藝術與美學,7304003,1,聽覺藝術欣賞Music Appreciation,黃富琴,2  2/0/0,2,通識,"五2,3",共同教室大樓106階梯教室,90
87,3,藝術與美學,7304007,1,西洋音樂史A History of Western Music,謝馥年,2  2/0/0,2,通識,"五4,5",共同教室大樓325,60
88,3,藝術與美學,7304012,1,漫遊聲樂的世界Introduction to Vocal Music,謝馥年,2  2/0/0,2,通識,"五2,3",共同教室大樓325,60
89,3,藝術與美學,7304019,1,藝術基礎理論與賞析The Practice of Western Artists and Theories,黃承德,2  2/0/0,2,通識,"三4,5",共同教室大樓501,60
90,3,藝術與美學,7304020,1,當代藝術思潮Trends of Contemporary Art,黃承德,2  2/0/0,2,通識,"二8,9",共同教室大樓501,60
91,3,藝術與美學,7304020,2,當代藝術思潮Trends of Contemporary Art,黃承德,2  2/0/0,2,通識,"二10,11",共同教室大樓501,60
92,3,藝術與美學,7304024,1,版畫創作基礎Basic Printmaking,黃承德,2  2/0/0,2,通識,"一8,9",共同教室大樓501,40
93,3,藝術與美學,7304029,1,表演與自我開發Acting and Self-development,周力德,2  2/0/0,2,通識,"五9,10",活動中心301舞蹈教室,26
94,3,藝術與美學,7304030,1,戲劇與人生Drama and Life,周力德,2  2/0/0,2,通識,"五7,8",共同教室大樓212,47
95,3,藝術與美學,7304031,1,數位美學Digital Aesthetics,陸維元,2  2/0/0,2,通識,"一8,9",電算中心214教室,40
96,3,能源、環境與生態,7304032,1,自然觀察與紀錄Observation and Preservation of Nature,陸維元,2  2/0/0,2,通識,"三4,5",共同教室大樓325,36
97,3,藝術與美學,7304033,1,藝術的故事The Story of Art,陸維元,2  2/0/0,2,通識,"二8,9",共同教室大樓325,53
98,3,藝術與美學,7304034,1,當代藝術與設計Modern Art and Design,鄭安利,2  2/0/0,2,通識,"四8,9",共同教室大樓501,60
